player,player_url,season_src,season_tgt,league_src,league_tgt,team_src,team_tgt,age_src,age_tgt,position,minutes_src,minutes_tgt,goals_p90_src,goals_p90_tgt,goals_p90_delta,assists_p90_src,assists_p90_tgt,assists_p90_delta,xg_p90_src,xg_p90_tgt,xg_p90_delta,xag_p90_src,xag_p90_tgt,xag_p90_delta,prog_passes_p90_src,prog_passes_p90_tgt,prog_passes_p90_delta,prog_carries_p90_src,prog_carries_p90_tgt,prog_carries_p90_delta,touches_p90_src,touches_p90_tgt,touches_p90_delta
Moussa Diarra,https://fbref.com/en/players/698f11e3/Moussa-Diarra,2023-2024,2024-2025,Ligue 1,La Liga,Toulouse,Alavés,23-202,23,DF,1397.0,1866.0,0.06442376521116679,0.0,-0.06442376521116679,0.12884753042233357,0.0,-0.12884753042233357,0.03221188260558339,0.0,-0.03221188260558339,0.07086614173228348,0.00482315112540193,-0.06604299060688154,4.509663564781675,3.3762057877813505,-1.133457777000325,1.1596277738010021,0.04823151125401929,-1.1113962625469829,55.21116678596994,7.331189710610932,-47.87997707535901
Enzo Barrenechea,https://fbref.com/en/players/6caffe81/Enzo-Barrenechea,2023-2024,2024-2025,Serie A,La Liga,Frosinone,Valencia,23-008,23,MF,2811.0,2191.0,0.0,0.041077133728890915,0.041077133728890915,0.032017075773746,0.08215426745778183,0.05013719168403583,0.019210245464247596,0.053400273847558195,0.0341900283833106,0.054429028815368194,0.03696942035600183,-0.017459608459366366,4.9626467449306295,5.175718849840256,0.21307210490962625,0.32017075773745995,0.0,-0.32017075773745995,70.8537886872999,5.791875855773619,-65.06191283152627
Ruben Vargas,https://fbref.com/en/players/6ecbddf6/Ruben-Vargas,2023-2024,2024-2025,Bundesliga,La Liga,Augsburg,Sevilla,25-299,25,"MF,FW",1962.0,671.0,0.18348623853211007,0.26825633383010433,0.08477009529799426,0.2293577981651376,0.13412816691505217,-0.09522963125008543,0.17889908256880732,0.26825633383010433,0.08935725126129701,0.11009174311926605,0.10730253353204174,-0.0027892095872243117,3.532110091743119,1.8777943368107302,-1.654315754932389,2.614678899082569,,,43.53211009174312,,
Douglas Luiz,https://fbref.com/en/players/6f7d826d/Douglas-Luiz,2023-2024,2024-2025,Premier League,Serie A,Aston Villa,Juventus,26-021,26,MF,2993.0,529.0,0.2706314734380221,0.0,-0.2706314734380221,0.15035081857667892,0.0,-0.15035081857667892,0.20748412963581694,0.10207939508506615,-0.10540473455075079,0.16237888406281326,0.17013232514177692,0.007753441078963669,5.051787504176412,5.954631379962192,0.9028438757857806,1.804209822920147,1.8714555765595462,0.06724575363939911,70.69495489475443,31.134215500945178,-39.56073939380926
Pape Gueye,https://fbref.com/en/players/7155e3e1/Pape-Gueye,2023-2024,2024-2025,Ligue 1,La Liga,Marseille,Villarreal,25-127,25,"MF,DF",765.0,2224.0,0.11764705882352941,0.1618705035971223,0.044223444773592885,0.0,0.0,0.0,0.047058823529411764,0.13758992805755393,0.09053110452814217,0.09411764705882353,0.044514388489208634,-0.049603258569614894,7.176470588235294,6.312949640287769,-0.8635209479475252,0.9411764705882353,0.24280575539568344,-0.6983707151925518,70.82352941176471,12.544964028776977,-58.278565382987736
Bertuğ Yıldırım,https://fbref.com/en/players/7410d325/Bertug-Yildirim,2023-2024,2024-2025,Ligue 1,La Liga,Rennes,Getafe,21-323,22,FW,469.0,1083.0,0.0,0.08310249307479224,0.08310249307479224,0.19189765458422176,0.0,-0.19189765458422176,0.26865671641791045,0.20775623268698062,-0.06090048373092982,0.13432835820895522,0.09972299168975068,-0.03460536651920454,2.1108742004264394,1.1634349030470914,-0.947439297379348,1.7270788912579957,0.24930747922437674,-1.477771412033619,29.74413646055437,9.722991689750693,-20.021144770803676
Alexis Claude-Maurice,https://fbref.com/en/players/741418c3/Alexis-Claude-Maurice,2023-2024,2024-2025,Ligue 1,Bundesliga,Nice,Augsburg,25-359,26,MF,504.0,2109.0,0.0,0.3840682788051209,0.3840682788051209,0.0,0.08534850640113797,0.08534850640113797,0.14285714285714288,0.20056899004267426,0.05771184718553138,0.053571428571428575,0.051209103840682786,-0.0023623247307457892,3.7500000000000004,2.6031294452347082,-1.1468705547652922,2.678571428571429,0.12802275960170698,-2.550548668969722,58.92857142857143,0.8961593172119487,-58.032412111359484
Vitinha,https://fbref.com/en/players/74d4cec6/Vitinha,2023-2024,2024-2025,Ligue 1,Serie A,Marseille,Genoa,24-076,24,FW,923.0,1328.0,0.29252437703141926,0.1355421686746988,-0.15698220835672047,0.1950162513542795,0.20331325301204817,0.008297001657768671,0.4972914409534127,0.10843373493975904,-0.38885770601365366,0.2827735644637053,0.223644578313253,-0.059128986150452284,2.2426868905742143,1.2876506024096386,-0.9550362881645758,1.4626218851570962,0.677710843373494,-0.7849110417836023,35.68797399783315,12.740963855421686,-22.94701014241146
Emmanuel Agbadou,https://fbref.com/en/players/75f1ed80/Emmanuel-Agbadou,2023-2024,2024-2025,Ligue 1,Premier League,Reims,Wolves,26-348,27,DF,2596.0,1410.0,0.03466872110939907,0.06382978723404256,0.02916106612464349,0.03466872110939907,0.0,-0.03466872110939907,0.08320493066255778,0.05106382978723405,-0.032141100875323736,0.05200308166409861,0.012765957446808512,-0.0392371242172901,6.205701078582434,1.9787234042553192,-4.226977674327115,1.4560862865947612,,,76.20184899845917,,
Oliver McBurnie,https://fbref.com/en/players/78b8ac63/Oliver-McBurnie,2023-2024,2024-2025,Premier League,La Liga,Sheffield Utd,Las Palmas,27-361,28,FW,1280.0,1837.0,0.421875,0.14697876973326074,-0.27489623026673926,0.2109375,0.2939575394665215,0.08302003946652148,0.48515625000000007,0.2351660315732172,-0.24999021842678287,0.140625,0.13718018508437668,-0.0034448149156233177,2.109375,1.3228089275993467,-0.7865660724006533,0.421875,0.04899292324442025,-0.37288207675557977,40.9921875,11.268372346216658,-29.72381515378334
Morgan Guilavogui,https://fbref.com/en/players/79b51257/Morgan-Guilavogui,2023-2024,2024-2025,Ligue 1,Bundesliga,Lens,St. Pauli,26-081,26,"FW,MF",566.0,1807.0,0.31802120141342755,0.29883785279468733,-0.019183348618740215,0.0,0.0996126175982291,0.0996126175982291,0.2544169611307421,0.3536247924737133,0.09920783134297123,0.19081272084805653,0.09463198671831764,-0.09618073412973889,5.724381625441696,2.0420586607636966,-3.6823229646779994,2.5441696113074204,0.14941892639734367,-2.394750684910077,51.83745583038869,5.229662423907028,-46.60779340648166
Sepp van den Berg,https://fbref.com/en/players/7bf9400b/Sepp-van-den-Berg,2023-2024,2024-2025,Bundesliga,Premier League,Mainz 05,Brentford,22-162,22,DF,2839.0,2586.0,0.09510390982740402,0.0,-0.09510390982740402,0.0,0.0,0.0,0.08559351884466362,0.06960556844547564,-0.01598795039918799,0.009510390982740402,0.027842227378190258,0.018331836395449858,3.0116238112011273,2.7494199535962878,-0.26220385760483955,0.22190912293060938,0.06960556844547564,-0.15230355448513375,59.34483973230011,9.222737819025522,-50.12210191327459
Khéphren Thuram,https://fbref.com/en/players/7d9397f8/Khephren-Thuram,2023-2024,2024-2025,Ligue 1,Serie A,Nice,Juventus,23-065,23,MF,2108.0,2326.0,0.04269449715370019,0.15477214101461736,0.11207764386091718,0.04269449715370019,0.1934651762682717,0.1507706791145715,0.14516129032258066,0.13542562338779018,-0.009735666934790471,0.15796963946869072,0.13929492691315562,-0.0186747125555351,4.44022770398482,4.759243336199484,0.319015632214664,2.860531309297913,0.15477214101461736,-2.7057591682832958,59.64421252371917,6.655202063628547,-52.989010460090626
Ricardo Rodríguez,https://fbref.com/en/players/7f78ad23/Ricardo-Rodriguez,2023-2024,2024-2025,Serie A,La Liga,Torino,Betis,31-279,31,DF,2772.0,1274.0,0.032467532467532464,0.0,-0.032467532467532464,0.06493506493506493,0.0706436420722135,0.005708577137148577,0.00974025974025974,0.0141287284144427,0.004388468674182961,0.04545454545454545,0.0282574568288854,-0.017197088625660047,4.123376623376624,4.450549450549451,0.32717282717282714,1.9805194805194806,0.2119309262166405,-1.7685885543028401,61.493506493506494,16.036106750392467,-45.457399743114024
Abner,https://fbref.com/en/players/7f9c5d2d/Abner,2023-2024,2024-2025,La Liga,Ligue 1,Betis,Lyon,24-003,24,DF,1400.0,1090.0,0.0,0.08256880733944955,0.08256880733944955,0.0642857142857143,0.08256880733944955,0.018283093053735253,0.006428571428571429,0.04954128440366973,0.0431127129750983,0.0642857142857143,0.0908256880733945,0.026539973787680207,2.1214285714285714,5.4495412844036695,3.328112712975098,0.9,1.073394495412844,0.17339449541284402,62.1,27.412844036697248,-34.68715596330276
İlkay Gündoğan,https://fbref.com/en/players/819b3158/Ilkay-Gundogan,2023-2024,2024-2025,La Liga,Premier League,Barcelona,Manchester City,33-219,33,MF,2994.0,2223.0,0.15030060120240482,0.04048582995951417,-0.10981477124289066,0.27054108216432865,0.24291497975708504,-0.027626102407243613,0.21943887775551102,0.12955465587044535,-0.08988422188506567,0.30961923847695394,0.1417004048582996,-0.16791883361865434,6.733466933867736,5.1417004048583,-1.591766529009436,2.1342685370741483,0.5263157894736842,-1.6079527476004642,82.15430861723448,11.821862348178138,-70.33244626905633
Youssouf Fofana,https://fbref.com/en/players/822d51d7/Youssouf-Fofana,2023-2024,2024-2025,Ligue 1,Serie A,Monaco,Milan,25-141,25,MF,2697.0,2504.0,0.13348164627363737,0.035942492012779555,-0.09753915426085782,0.13348164627363737,0.21565495207667731,0.08217330580303994,0.16685205784204674,0.04672523961661342,-0.12012681822543331,0.11345939933259178,0.12220447284345047,0.008745073510858695,8.309232480533927,6.325878594249201,-1.9833538862847258,1.7686318131256953,0.17971246006389777,-1.5889193530617975,70.51167964404895,11.465654952076678,-59.04602469197228
Valentin Gendrey,https://fbref.com/en/players/822ed0ec/Valentin-Gendrey,2023-2024,2024-2025,Serie A,Bundesliga,Lecce,Hoffenheim,23-344,24,DF,3044.0,1414.0,0.05913272010512483,0.06364922206506365,0.004516501959938822,0.08869908015768725,0.06364922206506365,-0.025049858092623598,0.04730617608409987,0.07001414427157002,0.022707968187470146,0.04730617608409987,0.11456859971711458,0.06726242363301471,3.4296977660972403,3.118811881188119,-0.3108858849091214,2.247043363994744,0.1272984441301273,-2.1197449198646163,51.090670170827856,7.256011315417257,-43.8346588554106
Mathys Tel,https://fbref.com/en/players/829aa60c/Mathys-Tel,2023-2024,2024-2025,Bundesliga,Premier League,Bayern Munich,Tottenham,19-033,19,"FW,MF",1050.0,911.0,0.6,0.19758507135016468,-0.4024149286498353,0.4285714285714286,0.09879253567508234,-0.32977889289634627,0.31714285714285717,0.296377607025247,-0.020765250117610157,0.19714285714285715,0.25686059275521406,0.05971773561235691,2.3142857142857145,2.074643249176729,-0.23964246510898546,3.857142857142857,,,50.48571428571429,,
Matz Sels,https://fbref.com/en/players/834b5c4c/Matz-Sels,2023-2024,2024-2025,Ligue 1,Premier League,Strasbourg,Nott'ham Forest,32-094,32,GK,1710.0,3420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.010526315789473684,-0.015789473684210527,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,34.94736842105263,5.7368421052631575,-29.210526315789473
Manu Koné,https://fbref.com/en/players/86574238/Manu-Kone,2023-2024,2024-2025,Bundesliga,Serie A,Gladbach,Roma,23-013,23,MF,1561.0,2572.0,0.05765534913516976,0.06998444790046655,0.012329098765296795,0.0,0.03499222395023328,0.03499222395023328,0.0691864189622037,0.11897356143079314,0.04978714246858944,0.0691864189622037,0.05948678071539657,-0.009699638246807134,4.0358744394618835,5.038880248833593,1.0030058093717091,2.42152466367713,0.3499222395023328,-2.071602424174797,53.33119795003203,6.998444790046656,-46.33275315998537
